Location,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Region,longitude,latitude
Andhra Pradesh,29-02-2020,Monthly,5.66,4822035,36.84,Urban,South,15.9129,79.74
Andhra Pradesh,31-03-2020,Monthly,9.88,4521537,36.08,Urban,South,15.9129,79.74
Andhra Pradesh,30-04-2020,Monthly,32.3,2544084,26.97,Urban,South,15.9129,79.74
Andhra Pradesh,31-05-2020,Monthly,24.91,3428356,32.69,Urban,South,15.9129,79.74
Andhra Pradesh,30-06-2020,Monthly,5.86,4954389,37.61,Urban,South,15.9129,79.74
Andhra Pradesh,31-01-2020,Monthly,5.48,16635535,41.02,Urban,South,15.9129,79.74
Andhra Pradesh,29-02-2020,Monthly,5.83,16545652,40.9,Urban,South,15.9129,79.74
Andhra Pradesh,31-03-2020,Monthly,5.79,15881197,39.18,Urban,South,15.9129,79.74
Andhra Pradesh,30-04-2020,Monthly,20.51,11336911,33.1,Urban,South,15.9129,79.74
Andhra Pradesh,31-05-2020,Monthly,17.43,12988845,36.46,Urban,South,15.9129,79.74
Andhra Pradesh,30-06-2020,Monthly,3.31,19805400,47.41,Urban,South,15.9129,79.74
Andhra Pradesh,31-07-2020,Monthly,8.34,15431615,38.91,Urban,South,15.9129,79.74
Andhra Pradesh,31-08-2020,Monthly,6.96,15251776,37.83,Rural,South,15.9129,79.74
Andhra Pradesh,30-09-2020,Monthly,6.4,15220312,37.47,Rural,South,15.9129,79.74
Andhra Pradesh,31-10-2020,Monthly,6.59,15157557,37.34,Rural,South,15.9129,79.74
Assam,31-05-2019,Monthly,4.29,11749334,57.39,Rural,Northeast,26.2006,92.9376
Assam,30-06-2019,Monthly,5.08,8923222,43.87,Rural,Northeast,26.2006,92.9376
Assam,31-07-2019,Monthly,4.26,9911534,48.21,Rural,Northeast,26.2006,92.9376
Assam,31-08-2019,Monthly,5.79,9292039,45.83,Rural,Northeast,26.2006,92.9376
Assam,30-09-2019,Monthly,4.46,11468349,55.67,Rural,Northeast,26.2006,92.9376
Assam,31-10-2019,Monthly,4.65,8395906,40.76,Rural,Northeast,26.2006,92.9376
Assam,30-11-2019,Monthly,4.66,9625362,46.64,Rural,Northeast,26.2006,92.9376
Assam,31-01-2020,Monthly,4.29,11420996,54.9,Rural,Northeast,26.2006,92.9376
Assam,29-02-2020,Monthly,3.26,8462814,40.17,Rural,Northeast,26.2006,92.9376
Assam,31-03-2020,Monthly,3.77,9878742,47.05,Rural,Northeast,26.2006,92.9376
Assam,31-05-2020,Monthly,9.38,9926176,50,Rural,Northeast,26.2006,92.9376
Assam,30-06-2020,Monthly,0,7544937,34.38,Rural,Northeast,26.2006,92.9376
Assam,31-05-2019,Monthly,7.87,1671707,44.92,Urban,Northeast,26.2006,92.9376
Assam,30-06-2019,Monthly,9.89,1647342,45.17,Urban,Northeast,26.2006,92.9376
Assam,31-07-2019,Monthly,3.21,1739838,44.32,Urban,Northeast,26.2006,92.9376
Assam,31-08-2019,Monthly,10.39,1595582,43.81,Urban,Northeast,26.2006,92.9376
Assam,30-09-2019,Monthly,9.26,1576480,42.66,Urban,Northeast,26.2006,92.9376
Assam,31-10-2019,Monthly,11.17,1595176,44.01,Urban,Northeast,26.2006,92.9376
Assam,30-11-2019,Monthly,6.31,1708045,44.59,Urban,Northeast,26.2006,92.9376
Assam,31-12-2019,Monthly,5.02,1722303,44.26,Urban,Northeast,26.2006,92.9376
Assam,31-01-2020,Monthly,7.24,1630908,42.82,Urban,Northeast,26.2006,92.9376
Assam,29-02-2020,Monthly,9.98,1625454,43.9,Urban,Northeast,26.2006,92.9376
Assam,31-03-2020,Monthly,10.34,1664145,45.03,Urban,Northeast,26.2006,92.9376
Assam,30-04-2020,Monthly,8.37,1454956,38.45,Urban,Northeast,26.2006,92.9376
Assam,31-05-2020,Monthly,10.77,1441722,39.04,Urban,Northeast,26.2006,92.9376
Assam,30-06-2020,Monthly,3.42,1551007,38.73,Urban,Northeast,26.2006,92.9376
Assam,31-01-2020,Monthly,4.66,13051904,52.98,Urban,Northeast,26.2006,92.9376
Assam,29-02-2020,Monthly,4.41,10088268,40.77,Urban,Northeast,26.2006,92.9376
Assam,31-03-2020,Monthly,4.77,11542888,46.73,Urban,Northeast,26.2006,92.9376
Assam,30-04-2020,Monthly,11.06,6830817,29.55,Urban,Northeast,26.2006,92.9376
Assam,31-05-2020,Monthly,9.55,11367897,48.26,Urban,Northeast,26.2006,92.9376
Assam,30-06-2020,Monthly,0.6,9095944,35.07,Urban,Northeast,26.2006,92.9376
Assam,31-07-2020,Monthly,3.77,10286757,40.88,Urban,Northeast,26.2006,92.9376
Assam,31-08-2020,Monthly,5.53,9781310,39.52,Urban,Northeast,26.2006,92.9376
Assam,30-09-2020,Monthly,1.19,14107641,54.38,Urban,Northeast,26.2006,92.9376
Assam,31-10-2020,Monthly,3.02,11949329,46.84,Urban,Northeast,26.2006,92.9376
Bihar,31-05-2019,Monthly,9.27,24322330,39.75,Rural,East,25.0961,85.3131
Bihar,30-06-2019,Monthly,10.2,24097712,39.71,Rural,East,25.0961,85.3131
Bihar,31-07-2019,Monthly,13.44,23248875,39.66,Rural,East,25.0961,85.3131
Bihar,31-08-2019,Monthly,11,22260203,36.85,Rural,East,25.0961,85.3131
Bihar,30-09-2019,Monthly,8.87,23905700,38.57,Rural,East,25.0961,85.3131
Bihar,31-10-2019,Monthly,12.47,24053140,40.31,Rural,East,25.0961,85.3131
Bihar,30-11-2019,Monthly,12.4,22445989,37.51,Rural,East,25.0961,85.3131
Bihar,31-12-2019,Monthly,10.16,22914530,37.25,Rural,East,25.0961,85.3131
Bihar,31-01-2020,Monthly,9.13,23409006,37.54,Rural,East,25.0961,85.3131
Bihar,29-02-2020,Monthly,9.61,23168192,37.28,Rural,East,25.0961,85.3131
Bihar,31-03-2020,Monthly,15.39,22667882,38.88,Rural,East,25.0961,85.3131
Bihar,30-04-2020,Monthly,45.09,14645275,38.63,Rural,East,25.0961,85.3131
Bihar,31-05-2020,Monthly,47.26,14050319,38.5,Rural,East,25.0961,85.3131
Bihar,30-06-2020,Monthly,20.49,20622566,37.4,Rural,East,25.0961,85.3131
Bihar,31-05-2019,Monthly,19.9,3029344,39.8,Urban,East,25.0961,85.3131
Bihar,30-06-2019,Monthly,13.29,3248864,39.35,Urban,East,25.0961,85.3131
Bihar,31-07-2019,Monthly,16.41,3059744,38.36,Urban,East,25.0961,85.3131
Bihar,31-08-2019,Monthly,17.66,2994763,38.03,Urban,East,25.0961,85.3131
Bihar,30-09-2019,Monthly,20.46,2992082,39.25,Urban,East,25.0961,85.3131
Bihar,31-10-2019,Monthly,14.06,3173429,38.45,Urban,East,25.0961,85.3131
Bihar,30-11-2019,Monthly,17.62,3081077,38.86,Urban,East,25.0961,85.3131
Bihar,31-12-2019,Monthly,14.91,2977857,36.29,Urban,East,25.0961,85.3131
Bihar,31-01-2020,Monthly,20.69,2988665,38.99,Urban,East,25.0961,85.3131
Bihar,29-02-2020,Monthly,15.11,3113464,37.87,Urban,East,25.0961,85.3131
Bihar,31-03-2020,Monthly,15.73,3049637,37.29,Urban,East,25.0961,85.3131
Bihar,30-04-2020,Monthly,58.77,1400962,34.94,Urban,East,25.0961,85.3131
Bihar,31-05-2020,Monthly,37.87,2207026,36.45,Urban,East,25.0961,85.3131
Bihar,30-06-2020,Monthly,12.45,3124663,36.54,Urban,East,25.0961,85.3131
Bihar,31-01-2020,Monthly,10.61,26397671,37.72,Urban,East,25.0961,85.3131
Bihar,29-02-2020,Monthly,10.29,26281655,37.35,Urban,East,25.0961,85.3131
Bihar,31-03-2020,Monthly,15.43,25717519,38.69,Urban,East,25.0961,85.3131
Bihar,30-04-2020,Monthly,46.64,16046236,38.17,Urban,East,25.0961,85.3131
Bihar,31-05-2020,Monthly,45.96,16280203,38.16,Urban,East,25.0961,85.3131
Bihar,30-06-2020,Monthly,17.82,23963933,36.86,Urban,East,25.0961,85.3131
Bihar,31-07-2020,Monthly,12.79,24989370,36.14,Urban,East,25.0961,85.3131
Bihar,31-08-2020,Monthly,13.44,23795534,34.59,Urban,East,25.0961,85.3131
Bihar,30-09-2020,Monthly,11.91,26902907,38.35,Urban,East,25.0961,85.3131
Bihar,31-10-2020,Monthly,9.82,25693252,35.7,Urban,East,25.0961,85.3131
Chandigarh,31-05-2019,Monthly,18.35,348042,44.89,Urban,East,25.0961,85.3131
Chandigarh,30-06-2019,Monthly,12.4,337145,40.44,Urban,East,25.0961,85.3131
Chandigarh,31-07-2019,Monthly,21.8,294379,39.47,Urban,East,25.0961,85.3131
Chandigarh,31-08-2019,Monthly,9.52,328282,37.95,Urban,East,25.0961,85.3131
Chandigarh,30-09-2019,Monthly,20.14,327239,42.77,Urban,East,25.0961,85.3131
Chandigarh,31-10-2019,Monthly,13.99,330856,40.06,Urban,East,25.0961,85.3131
Chandigarh,30-11-2019,Monthly,22.05,289593,38.6,Urban,East,25.0961,85.3131
Chandigarh,31-12-2019,Monthly,8.33,311146,35.19,Urban,East,25.0961,85.3131
Chandigarh,31-01-2020,Monthly,20,332062,42.94,Urban,East,25.0961,85.3131
Chandigarh,29-02-2020,Monthly,16.67,316887,39.25,Urban,East,25.0961,85.3131
Chandigarh,31-03-2020,Monthly,21.43,279839,36.68,Urban,East,25.0961,85.3131
Chandigarh,30-06-2020,Monthly,7.22,306505,33.8,Urban,East,25.0961,85.3131
Chhattisgarh,31-05-2019,Monthly,9.82,6259019,42.89,Rural,West,21.2787,81.8661
Chhattisgarh,30-06-2019,Monthly,6.76,6608626,43.71,Rural,West,21.2787,81.8661
Chhattisgarh,31-07-2019,Monthly,4.54,6753622,43.53,Rural,West,21.2787,81.8661
Chhattisgarh,31-08-2019,Monthly,4.64,6607694,42.55,Rural,West,21.2787,81.8661
Chhattisgarh,30-09-2019,Monthly,8.33,6490776,43.38,Rural,West,21.2787,81.8661
Chhattisgarh,31-10-2019,Monthly,6.96,7043840,46.28,Rural,West,21.2787,81.8661
Chhattisgarh,30-11-2019,Monthly,2.77,6942931,43.56,Rural,West,21.2787,81.8661
Chhattisgarh,31-12-2019,Monthly,6.11,6569385,42.59,Rural,West,21.2787,81.8661
Chhattisgarh,31-01-2020,Monthly,9.89,6236201,42.03,Rural,West,21.2787,81.8661
Chhattisgarh,29-02-2020,Monthly,7.89,6847173,45.05,Rural,West,21.2787,81.8661
Chhattisgarh,31-03-2020,Monthly,7.31,6894808,44.98,Rural,West,21.2787,81.8661
Chhattisgarh,30-04-2020,Monthly,0,6534321,39.43,Rural,West,21.2787,81.8661
Chhattisgarh,31-05-2020,Monthly,7.64,5454091,35.56,Rural,West,21.2787,81.8661
Chhattisgarh,30-06-2020,Monthly,10.14,5781095,38.66,Rural,West,21.2787,81.8661
Chhattisgarh,31-05-2019,Monthly,9.77,2223129,45.61,Urban,West,21.2787,81.8661
Chhattisgarh,30-06-2019,Monthly,11.77,2192020,45.88,Urban,West,21.2787,81.8661
Chhattisgarh,31-07-2019,Monthly,8.17,2285436,45.85,Urban,West,21.2787,81.8661
Chhattisgarh,31-08-2019,Monthly,6.29,2392400,46.91,Urban,West,21.2787,81.8661
Chhattisgarh,30-09-2019,Monthly,9.46,2311507,46.8,Urban,West,21.2787,81.8661
Chhattisgarh,31-10-2019,Monthly,10.27,2297096,46.82,Urban,West,21.2787,81.8661
Chhattisgarh,30-11-2019,Monthly,8.32,2341284,46.59,Urban,West,21.2787,81.8661
Chhattisgarh,31-12-2019,Monthly,3.57,2415436,45.59,Urban,West,21.2787,81.8661
Chhattisgarh,31-01-2020,Monthly,9.01,2315972,46.21,Urban,West,21.2787,81.8661
Chhattisgarh,29-02-2020,Monthly,9.79,2347941,47.14,Urban,West,21.2787,81.8661
Chhattisgarh,31-03-2020,Monthly,8.21,2407509,47.39,Urban,West,21.2787,81.8661
Chhattisgarh,30-04-2020,Monthly,20.13,1066126,24.06,Urban,West,21.2787,81.8661
Chhattisgarh,31-05-2020,Monthly,24.1,1276291,30.24,Urban,West,21.2787,81.8661
Chhattisgarh,30-06-2020,Monthly,27.07,1602231,39.41,Urban,West,21.2787,81.8661
Chhattisgarh,31-01-2020,Monthly,9.65,8552172,43.08,Urban,West,21.2787,81.8661
Chhattisgarh,29-02-2020,Monthly,8.38,9195114,45.58,Urban,West,21.2787,81.8661
Chhattisgarh,31-03-2020,Monthly,7.54,9302317,45.59,Urban,West,21.2787,81.8661
Chhattisgarh,30-04-2020,Monthly,3.41,7600448,35.58,Urban,West,21.2787,81.8661
Chhattisgarh,31-05-2020,Monthly,10.5,6991217,35.23,Urban,West,21.2787,81.8661
Chhattisgarh,30-06-2020,Monthly,14.23,7332807,38.48,Urban,West,21.2787,81.8661
Chhattisgarh,31-07-2020,Monthly,10.27,8620294,43.14,Urban,West,21.2787,81.8661
Chhattisgarh,31-08-2020,Monthly,5.63,9050422,42.97,Urban,West,21.2787,81.8661
Chhattisgarh,30-09-2020,Monthly,1.96,9021854,41.14,Urban,West,21.2787,81.8661
Chhattisgarh,31-10-2020,Monthly,6.62,8546847,40.82,Urban,West,21.2787,81.8661
Delhi,31-05-2019,Monthly,12.56,169487,42.33,Rural,North,28.7041,77.1025
Delhi,30-06-2019,Monthly,9.33,149076,35.74,Rural,North,28.7041,77.1025
Delhi,31-07-2019,Monthly,11.07,166605,40.53,Rural,North,28.7041,77.1025
Delhi,31-08-2019,Monthly,17.18,135407,35.21,Rural,North,28.7041,77.1025
Delhi,30-09-2019,Monthly,12.5,166056,40.68,Rural,North,28.7041,77.1025
Delhi,31-10-2019,Monthly,15.84,149511,37.9,Rural,North,28.7041,77.1025
Delhi,30-11-2019,Monthly,11.11,178768,42.71,Rural,North,28.7041,77.1025
Delhi,31-12-2019,Monthly,16.97,145671,37.08,Rural,North,28.7041,77.1025
Delhi,31-01-2020,Monthly,13.48,157791,38.36,Rural,North,28.7041,77.1025
Delhi,29-02-2020,Monthly,13.81,147500,35.84,Rural,North,28.7041,77.1025
Delhi,31-03-2020,Monthly,15.18,152413,37.45,Rural,North,28.7041,77.1025
Delhi,30-04-2020,Monthly,20.69,115487,30.21,Rural,North,28.7041,77.1025
Delhi,31-05-2020,Monthly,22.76,129610,34.65,Rural,North,28.7041,77.1025
Delhi,30-06-2020,Monthly,21.14,112108,29.22,Rural,North,28.7041,77.1025
Delhi,31-05-2019,Monthly,12.31,5756475,44.17,Urban,North,28.7041,77.1025
Delhi,30-06-2019,Monthly,12.76,5550172,42.71,Urban,North,28.7041,77.1025
Delhi,31-07-2019,Monthly,14.68,5393091,42.34,Urban,North,28.7041,77.1025
Delhi,31-08-2019,Monthly,13.52,5552510,42.9,Urban,North,28.7041,77.1025
Delhi,30-09-2019,Monthly,20.59,5642253,47.36,Urban,North,28.7041,77.1025
Delhi,31-10-2019,Monthly,12.41,6030363,45.78,Urban,North,28.7041,77.1025
Delhi,30-11-2019,Monthly,16.11,5439600,43.02,Urban,North,28.7041,77.1025
Delhi,31-12-2019,Monthly,11.07,5718337,42.56,Urban,North,28.7041,77.1025
Delhi,31-01-2020,Monthly,22.45,5647493,48.09,Urban,North,28.7041,77.1025
Delhi,29-02-2020,Monthly,14.86,5708807,44.18,Urban,North,28.7041,77.1025
Delhi,31-03-2020,Monthly,17.09,5401392,42.82,Urban,North,28.7041,77.1025
Delhi,30-04-2020,Monthly,16.51,3003787,23.59,Urban,North,28.7041,77.1025
Delhi,31-05-2020,Monthly,45.78,2343783,28.28,Urban,North,28.7041,77.1025
Delhi,30-06-2020,Monthly,18.11,4306807,34.32,Urban,North,28.7041,77.1025
Delhi,31-01-2020,Monthly,22.23,5805284,47.79,Urban,North,28.7041,77.1025
Delhi,29-02-2020,Monthly,14.84,5856307,43.92,Urban,North,28.7041,77.1025
Delhi,31-03-2020,Monthly,17.04,5553805,42.65,Urban,North,28.7041,77.1025
Delhi,30-04-2020,Monthly,16.68,3119274,23.8,Urban,North,28.7041,77.1025
Delhi,31-05-2020,Monthly,42.27,2632404,28.91,Urban,North,28.7041,77.1025
Delhi,30-06-2020,Monthly,18.19,4418914,34.17,Urban,North,28.7041,77.1025
Delhi,31-07-2020,Monthly,20.3,4291053,33.97,Urban,North,28.7041,77.1025
Delhi,31-08-2020,Monthly,13.79,4850107,35.41,Urban,North,28.7041,77.1025
Delhi,30-09-2020,Monthly,12.53,4958373,35.59,Urban,North,28.7041,77.1025
Delhi,31-10-2020,Monthly,6.27,4842698,32.36,Urban,North,28.7041,77.1025
Goa,31-05-2019,Monthly,2.91,179340,39.16,Rural,West,15.2993,74.124
Goa,30-06-2019,Monthly,5.45,170471,38.19,Rural,West,15.2993,74.124
Goa,31-07-2019,Monthly,10.98,167437,39.81,Rural,West,15.2993,74.124
Goa,31-08-2019,Monthly,1.98,183603,39.61,Rural,West,15.2993,74.124
Goa,30-09-2019,Monthly,3.61,163215,35.78,Rural,West,15.2993,74.124
Goa,31-10-2019,Monthly,7.21,177440,40.36,Rural,West,15.2993,74.124
Goa,30-11-2019,Monthly,23.71,159489,44.09,Rural,West,15.2993,74.124
Goa,31-12-2019,Monthly,3.54,177155,38.7,Rural,West,15.2993,74.124
Goa,31-01-2020,Monthly,5.38,158936,35.36,Rural,West,15.2993,74.124
Goa,29-02-2020,Monthly,0,171672,36.11,Rural,West,15.2993,74.124
Goa,30-04-2020,Monthly,15.91,181657,45.36,Rural,West,15.2993,74.124
Goa,31-05-2020,Monthly,20,128538,33.71,Rural,West,15.2993,74.124
Goa,31-05-2019,Monthly,2.75,264855,34.17,Urban,West,15.2993,74.124
Goa,30-06-2019,Monthly,13.33,304015,43.96,Urban,West,15.2993,74.124
Goa,31-07-2019,Monthly,12.28,280367,40,Urban,West,15.2993,74.124
Goa,31-08-2019,Monthly,4.9,243277,31.97,Urban,West,15.2993,74.124
Goa,30-09-2019,Monthly,3.16,309643,39.92,Urban,West,15.2993,74.124
Goa,31-10-2019,Monthly,12.31,290264,41.27,Urban,West,15.2993,74.124
Goa,30-11-2019,Monthly,25.2,271612,45.22,Urban,West,15.2993,74.124
Goa,31-12-2019,Monthly,16.22,288154,42.77,Urban,West,15.2993,74.124
Goa,31-01-2020,Monthly,10.92,257814,35.95,Urban,West,15.2993,74.124
Goa,29-02-2020,Monthly,4.31,306396,39.73,Urban,West,15.2993,74.124
Goa,31-03-2020,Monthly,4.76,277093,36.05,Urban,West,15.2993,74.124
Goa,30-04-2020,Monthly,11.76,318957,44.74,Urban,West,15.2993,74.124
Goa,31-01-2020,Monthly,8.89,416750,35.73,Urban,West,15.2993,74.124
Goa,29-02-2020,Monthly,2.81,478068,38.38,Urban,West,15.2993,74.124
Goa,31-03-2020,Monthly,5.25,411761,33.88,Urban,West,15.2993,74.124
Goa,30-04-2020,Monthly,13.31,500614,44.97,Urban,West,15.2993,74.124
Goa,31-05-2020,Monthly,21.25,378244,37.36,Urban,West,15.2993,74.124
Goa,30-06-2020,Monthly,9.96,489111,42.21,Urban,West,15.2993,74.124
Goa,31-07-2020,Monthly,17.07,458876,42.94,Urban,West,15.2993,74.124
Goa,31-08-2020,Monthly,16.21,473016,43.76,Urban,West,15.2993,74.124
Goa,30-09-2020,Monthly,15.38,425004,38.89,Urban,West,15.2993,74.124
Goa,31-10-2020,Monthly,11.54,392304,34.3,Urban,West,15.2993,74.124
Gujarat,31-05-2019,Monthly,2.88,13954728,52.03,Rural,West,22.2587,71.1924
Gujarat,30-06-2019,Monthly,4.77,13199281,50.12,Rural,West,22.2587,71.1924
Gujarat,31-07-2019,Monthly,4.58,14327083,54.21,Rural,West,22.2587,71.1924
Gujarat,31-08-2019,Monthly,3.7,13507342,50.57,Rural,West,22.2587,71.1924
Gujarat,30-09-2019,Monthly,6.29,13280783,51.01,Rural,West,22.2587,71.1924
Gujarat,31-10-2019,Monthly,4.91,13828512,52.27,Rural,West,22.2587,71.1924
Gujarat,30-11-2019,Monthly,4.68,14487815,54.55,Rural,West,22.2587,71.1924
Gujarat,31-12-2019,Monthly,3.46,13877825,51.51,Rural,West,22.2587,71.1924
Gujarat,31-01-2020,Monthly,5.35,14301844,54.07,Rural,West,22.2587,71.1924
Gujarat,29-02-2020,Monthly,6.64,13973042,53.48,Rural,West,22.2587,71.1924
Gujarat,31-03-2020,Monthly,7.59,13483615,52.06,Rural,West,22.2587,71.1924
Gujarat,30-04-2020,Monthly,12,8587594,34.77,Rural,West,22.2587,71.1924
Gujarat,31-05-2020,Monthly,14.58,11121124,46.31,Rural,West,22.2587,71.1924
Gujarat,30-06-2020,Monthly,1.41,13243922,47.72,Rural,West,22.2587,71.1924
Gujarat,31-05-2019,Monthly,4.09,9686558,41.67,Urban,West,22.2587,71.1924
Gujarat,30-06-2019,Monthly,6.31,10144965,44.57,Urban,West,22.2587,71.1924
Gujarat,31-07-2019,Monthly,5.15,9828023,42.54,Urban,West,22.2587,71.1924
Gujarat,31-08-2019,Monthly,4.2,10228154,43.72,Urban,West,22.2587,71.1924
Gujarat,30-09-2019,Monthly,5.96,9609939,41.75,Urban,West,22.2587,71.1924
Gujarat,31-10-2019,Monthly,5.45,10474217,45.14,Urban,West,22.2587,71.1924
Gujarat,30-11-2019,Monthly,7.53,9896129,43.5,Urban,West,22.2587,71.1924
Gujarat,31-12-2019,Monthly,5.71,10172812,43.75,Urban,West,22.2587,71.1924
Gujarat,31-01-2020,Monthly,5.82,9824501,42.19,Urban,West,22.2587,71.1924
Gujarat,29-02-2020,Monthly,6.04,10784753,46.31,Urban,West,22.2587,71.1924
Gujarat,31-03-2020,Monthly,5.39,10083026,42.9,Urban,West,22.2587,71.1924
Gujarat,30-04-2020,Monthly,25.94,6701284,36.33,Urban,West,22.2587,71.1924
Gujarat,31-05-2020,Monthly,11.62,6072776,27.52,Urban,West,22.2587,71.1924
Gujarat,30-06-2020,Monthly,4.54,10574711,44.26,Urban,West,22.2587,71.1924
Gujarat,31-01-2020,Monthly,5.54,24126346,48.49,Urban,West,22.2587,71.1924
Gujarat,29-02-2020,Monthly,6.38,24757795,50.11,Urban,West,22.2587,71.1924
Gujarat,31-03-2020,Monthly,6.66,23566641,47.75,Urban,West,22.2587,71.1924
Gujarat,30-04-2020,Monthly,18.71,15288878,35.5,Urban,West,22.2587,71.1924
Gujarat,31-05-2020,Monthly,12.11,17836936,38.23,Urban,West,22.2587,71.1924
Gujarat,30-06-2020,Monthly,3.2,23657055,45.96,Urban,West,22.2587,71.1924
Gujarat,31-07-2020,Monthly,1.84,24276120,46.41,Urban,West,22.2587,71.1924
Gujarat,31-08-2020,Monthly,1.87,22817232,43.55,Urban,West,22.2587,71.1924
Gujarat,30-09-2020,Monthly,3.42,25010199,48.41,Urban,West,22.2587,71.1924
Gujarat,31-10-2020,Monthly,4.03,25970259,50.49,Urban,West,22.2587,71.1924
Haryana,31-05-2019,Monthly,14.54,5249186,45.12,Rural,North,29.0588,76.0856
Haryana,30-06-2019,Monthly,23.08,4745178,45.23,Rural,North,29.0588,76.0856
Haryana,31-07-2019,Monthly,16.22,4826560,42.17,Rural,North,29.0588,76.0856
Haryana,31-08-2019,Monthly,30.94,4558306,48.23,Rural,North,29.0588,76.0856
Haryana,30-09-2019,Monthly,16.36,5127956,44.72,Rural,North,29.0588,76.0856
Haryana,31-10-2019,Monthly,24.17,4798833,46.07,Rural,North,29.0588,76.0856
Haryana,30-11-2019,Monthly,16.59,4875763,42.48,Rural,North,29.0588,76.0856
Haryana,31-12-2019,Monthly,29.56,4603484,47.4,Rural,North,29.0588,76.0856
Haryana,31-01-2020,Monthly,16.21,5062293,43.74,Rural,North,29.0588,76.0856
Haryana,29-02-2020,Monthly,27.19,4570108,45.37,Rural,North,29.0588,76.0856
Haryana,31-03-2020,Monthly,23.92,4366148,41.4,Rural,North,29.0588,76.0856
Haryana,30-04-2020,Monthly,41.61,4041050,49.85,Rural,North,29.0588,76.0856
Haryana,31-05-2020,Monthly,34.22,3914193,42.78,Rural,North,29.0588,76.0856
Haryana,30-06-2020,Monthly,35.57,4357835,48.53,Rural,North,29.0588,76.0856
Haryana,31-05-2019,Monthly,24.67,2693596,43.18,Urban,North,29.0588,76.0856
Haryana,30-06-2019,Monthly,20.42,2845190,43.06,Urban,North,29.0588,76.0856
Haryana,31-07-2019,Monthly,25.45,2405973,38.77,Urban,North,29.0588,76.0856
Haryana,31-08-2019,Monthly,24.19,2523005,39.87,Urban,North,29.0588,76.0856
Haryana,30-09-2019,Monthly,26.84,2675862,43.7,Urban,North,29.0588,76.0856
Haryana,31-10-2019,Monthly,21.04,2821456,42.58,Urban,North,29.0588,76.0856
Haryana,30-11-2019,Monthly,27.06,2404239,39.18,Urban,North,29.0588,76.0856
Haryana,31-12-2019,Monthly,23.65,2548835,39.57,Urban,North,29.0588,76.0856
Haryana,31-01-2020,Monthly,27.24,2630938,42.75,Urban,North,29.0588,76.0856
Haryana,29-02-2020,Monthly,23.29,2752834,42.32,Urban,North,29.0588,76.0856
Haryana,31-03-2020,Monthly,27.14,2275407,36.73,Urban,North,29.0588,76.0856
Haryana,30-04-2020,Monthly,46.89,1606580,35.48,Urban,North,29.0588,76.0856
Haryana,31-05-2020,Monthly,38.46,2013083,38.27,Urban,North,29.0588,76.0856
Haryana,30-06-2020,Monthly,29.41,2304138,38.09,Urban,North,29.0588,76.0856
Haryana,31-01-2020,Monthly,20.34,7693231,43.36,Urban,North,29.0588,76.0856
